Project_ID,Project_Type,Activity,Planned_Start_Date,Planned_Finish_Date,Actual_Start_Date,Actual_Finish_Date,Planned_Days,Actual_Days,Delay_Days,Contractor,Weather,Labour_Available,Material_Delay,Status,Estimated_Daily_Cost_INR,Estimated_Cost_Overrun_INR,Quality_Issue,Safety_Incident,Remarks
ABC-006,Residential Apartment,Foundation PCC,2025-04-15,2025-04-19,2025-04-16,2025-04-29,5,14,9,BuildRight Civil Works,High Wind,Adequate,None,Severely Delayed,120200,1081800,No,No,Delay due to contractor productivity
ABC-006,Residential Apartment,Footing Reinforcement,2025-08-02,2025-08-10,2025-08-03,2025-08-16,9,14,5,BuildRight Civil Works,Moderate Rain,Moderate,None,Delayed,163077,815385,No,No,Delay due to weather and site coordination
ABC-006,Residential Apartment,Footing Formwork,2025-08-03,2025-08-08,2025-08-03,2025-08-12,6,10,4,Elite Structures Pvt. Ltd.,Normal,Adequate,None,Delayed,209053,836212,No,No,Delay due to contractor productivity
ABC-006,Residential Apartment,Footing Concreting,2025-07-28,2025-07-31,2025-07-28,2025-08-06,4,10,6,CoreBuild Engineering,Heavy Rain,Adequate,Low,Severely Delayed,224080,1344480,No,No,Delay due to weather and site coordination
ABC-006,Residential Apartment,Column Reinforcement,2025-05-22,2025-05-28,2025-05-22,2025-05-30,7,9,2,Elite Structures Pvt. Ltd.,Normal,Adequate,None,Delayed,112659,225318,No,No,Delay due to contractor productivity
ABC-006,Residential Apartment,Column Formwork,2025-04-07,2025-04-11,2025-04-09,2025-04-18,5,10,5,CoreBuild Engineering,Normal,Shortage,Low,Delayed,109537,547685,No,No,Delay due to labour shortage
ABC-006,Residential Apartment,Column Concreting,2026-01-21,2026-01-24,2026-01-21,2026-02-01,4,12,8,Alpha Infra Contractors,High Wind,Adequate,Medium,Severely Delayed,74774,598192,No,No,Delay due to material supply issue
ABC-006,Residential Apartment,Beam & Slab Formwork,2025-11-13,2025-11-23,2025-11-13,2025-11-27,11,15,4,PrimeBuild Contractors,Normal,Moderate,Low,Delayed,189278,757112,Yes,No,Delay due to contractor productivity
ABC-006,Residential Apartment,Beam & Slab Reinforcement,2025-06-20,2025-07-04,2025-06-20,2025-07-10,15,21,6,Delta Construction Services,Heavy Rain,Shortage,None,Severely Delayed,80564,483384,No,No,Delay due to weather and site coordination
ABC-006,Residential Apartment,RCC Slab Concreting,2025-11-19,2025-11-21,2025-11-19,2025-11-23,3,5,2,Delta Construction Services,Hot & Dry,Adequate,None,Delayed,215193,430386,No,No,Delay due to contractor productivity
ABC-007,Bridge,Brickwork / Blockwork,2025-08-15,2025-09-03,2025-08-15,2025-09-06,20,23,3,Delta Construction Services,Moderate Rain,Adequate,None,Delayed,53719,161157,No,No,Delay due to weather and site coordination
ABC-007,Bridge,Internal Plastering,2025-12-13,2025-12-28,2025-12-15,2026-01-04,16,21,5,PrimeBuild Contractors,High Wind,Adequate,None,Delayed,164445,822225,No,No,Delay due to contractor productivity
ABC-007,Bridge,External Plastering,2025-08-16,2025-09-05,2025-08-18,2025-09-07,21,21,0,Elite Structures Pvt. Ltd.,Hot & Dry,Adequate,None,Completed On Time,45546,0,No,No,Completed as planned
ABC-007,Bridge,Electrical First Fix,2025-11-27,2025-12-08,2025-11-27,2025-12-15,12,19,7,CoreBuild Engineering,Normal,Shortage,None,Severely Delayed,142046,994322,No,No,Delay due to labour shortage
ABC-007,Bridge,Plumbing First Fix,2025-08-08,2025-08-19,2025-08-08,2025-08-27,12,20,8,BuildRight Civil Works,Heavy Rain,Adequate,High,Severely Delayed,65388,523104,Yes,No,Delay due to weather and site coordination
ABC-007,Bridge,Waterproofing,2026-02-13,2026-02-20,2026-02-14,2026-02-27,8,14,6,PrimeBuild Contractors,Heavy Rain,Adequate,None,Severely Delayed,198947,1193682,No,No,Delay due to weather and site coordination
ABC-007,Bridge,Flooring & Tiling,2025-08-01,2025-08-15,2025-08-01,2025-08-21,15,21,6,Alpha Infra Contractors,Normal,Shortage,None,Severely Delayed,116461,698766,No,No,Delay due to labour shortage
ABC-007,Bridge,Doors & Windows,2025-08-28,2025-09-07,2025-08-30,2025-09-13,11,15,4,PrimeBuild Contractors,High Wind,Adequate,None,Delayed,219919,879676,No,No,Delay due to contractor productivity
ABC-007,Bridge,Painting,2025-10-30,2025-11-19,2025-10-30,2025-11-21,21,23,2,BuildRight Civil Works,Hot & Dry,Adequate,Medium,Delayed,241495,482990,No,No,Delay due to material supply issue
ABC-007,Bridge,External Development,2025-12-04,2025-12-17,2025-12-04,2025-12-24,14,21,7,BuildRight Civil Works,Hot & Dry,Shortage,None,Severely Delayed,122147,855029,No,No,Delay due to labour shortage
ABC-008,Bridge,Testing & Commissioning,2025-11-29,2025-12-06,2025-11-30,2025-12-10,8,11,3,BuildRight Civil Works,Normal,Moderate,Low,Delayed,136208,408624,Yes,No,Delay due to contractor productivity
ABC-008,Bridge,Final Inspection & Handover,2025-05-22,2025-05-26,2025-05-24,2025-06-06,5,14,9,Alpha Infra Contractors,High Wind,Adequate,High,Severely Delayed,154780,1393020,No,No,Delay due to material supply issue
ABC-008,Bridge,Site Survey & Setting Out,2025-09-16,2025-09-23,2025-09-18,2025-10-01,8,14,6,PrimeBuild Contractors,Normal,Moderate,None,Severely Delayed,134617,807702,Yes,No,Delay due to contractor productivity
ABC-008,Bridge,Excavation,2025-05-17,2025-06-01,2025-05-18,2025-06-04,16,18,2,CoreBuild Engineering,Hot & Dry,Moderate,None,Delayed,60806,121612,No,No,Delay due to contractor productivity
ABC-008,Bridge,Foundation PCC,2025-08-29,2025-09-01,2025-08-29,2025-09-01,4,4,0,Alpha Infra Contractors,Normal,Adequate,None,Completed On Time,133262,0,No,No,Completed as planned
ABC-008,Bridge,Footing Reinforcement,2025-08-02,2025-08-09,2025-08-03,2025-08-16,8,14,6,Delta Construction Services,Normal,Adequate,Low,Severely Delayed,187871,1127226,No,No,Delay due to contractor productivity
ABC-008,Bridge,Footing Formwork,2026-01-26,2026-01-31,2026-01-26,2026-02-05,6,11,5,BuildRight Civil Works,Normal,Moderate,Medium,Delayed,202493,1012465,Yes,No,Delay due to material supply issue
ABC-008,Bridge,Footing Concreting,2025-08-30,2025-09-02,2025-08-30,2025-09-15,4,17,13,BuildRight Civil Works,High Wind,Shortage,None,Severely Delayed,207550,2698150,No,No,Delay due to labour shortage
ABC-008,Bridge,Column Reinforcement,2025-07-22,2025-07-29,2025-07-22,2025-08-08,8,18,10,Elite Structures Pvt. Ltd.,High Wind,Shortage,Low,Severely Delayed,197762,1977620,No,No,Delay due to labour shortage
ABC-008,Bridge,Column Formwork,2025-11-12,2025-11-18,2025-11-12,2025-11-19,7,8,1,Delta Construction Services,Normal,Adequate,Low,Delayed,186931,186931,No,No,Delay due to contractor productivity
ABC-009,Bridge,Column Concreting,2025-08-10,2025-08-14,2025-08-11,2025-08-21,5,11,6,BuildRight Civil Works,Normal,Adequate,Medium,Severely Delayed,246416,1478496,No,No,Delay due to material supply issue
ABC-009,Bridge,Beam & Slab Formwork,2025-10-05,2025-10-18,2025-10-05,2025-10-24,14,20,6,CoreBuild Engineering,Normal,Moderate,None,Severely Delayed,242272,1453632,No,No,Delay due to contractor productivity
ABC-009,Bridge,Beam & Slab Reinforcement,2025-07-29,2025-08-10,2025-07-30,2025-08-17,13,19,6,BuildRight Civil Works,Heavy Rain,Adequate,None,Severely Delayed,41560,249360,No,No,Delay due to weather and site coordination
ABC-009,Bridge,RCC Slab Concreting,2025-10-27,2025-10-29,2025-10-27,2025-11-02,3,7,4,Delta Construction Services,Hot & Dry,Moderate,None,Delayed,71641,286564,No,No,Delay due to contractor productivity
ABC-009,Bridge,Brickwork / Blockwork,2026-01-02,2026-01-23,2026-01-03,2026-01-27,22,25,3,Alpha Infra Contractors,Normal,Adequate,None,Delayed,188967,566901,No,No,Delay due to contractor productivity
ABC-009,Bridge,Internal Plastering,2025-07-21,2025-08-04,2025-07-22,2025-08-10,15,20,5,Alpha Infra Contractors,Hot & Dry,Adequate,High,Delayed,151574,757870,Yes,No,Delay due to material supply issue
ABC-009,Bridge,External Plastering,2025-07-07,2025-07-22,2025-07-07,2025-07-30,16,24,8,Delta Construction Services,Hot & Dry,Shortage,None,Severely Delayed,154201,1233608,No,No,Delay due to labour shortage
ABC-009,Bridge,Electrical First Fix,2025-07-16,2025-07-28,2025-07-18,2025-08-04,13,18,5,PrimeBuild Contractors,Normal,Adequate,High,Delayed,91610,458050,No,No,Delay due to material supply issue
ABC-009,Bridge,Plumbing First Fix,2025-08-07,2025-08-17,2025-08-07,2025-08-24,11,18,7,Elite Structures Pvt. Ltd.,Hot & Dry,Adequate,High,Severely Delayed,63816,446712,No,No,Delay due to material supply issue
ABC-009,Bridge,Waterproofing,2025-06-04,2025-06-10,2025-06-05,2025-06-11,7,7,0,Elite Structures Pvt. Ltd.,Normal,Adequate,None,Completed On Time,172910,0,No,No,Completed as planned
ABC-010,Industrial Project,Flooring & Tiling,2025-12-23,2026-01-07,2025-12-23,2026-01-09,16,18,2,BuildRight Civil Works,Hot & Dry,Adequate,None,Delayed,155073,310146,No,No,Delay due to contractor productivity
ABC-010,Industrial Project,Doors & Windows,2025-09-12,2025-09-25,2025-09-14,2025-10-02,14,19,5,PrimeBuild Contractors,Normal,Adequate,Low,Delayed,73884,369420,No,No,Delay due to contractor productivity
ABC-010,Industrial Project,Painting,2026-02-04,2026-02-22,2026-02-05,2026-03-06,19,30,11,CoreBuild Engineering,Normal,Shortage,None,Severely Delayed,60999,670989,No,No,Delay due to labour shortage
ABC-010,Industrial Project,External Development,2025-11-19,2025-12-04,2025-11-20,2025-12-11,16,22,6,PrimeBuild Contractors,Hot & Dry,Shortage,None,Severely Delayed,144049,864294,No,No,Delay due to labour shortage
ABC-010,Industrial Project,Testing & Commissioning,2025-05-20,2025-05-27,2025-05-20,2025-05-28,8,9,1,BuildRight Civil Works,High Wind,Moderate,None,Delayed,247800,247800,No,No,Delay due to contractor productivity
ABC-010,Industrial Project,Final Inspection & Handover,2026-02-02,2026-02-07,2026-02-02,2026-02-15,6,14,8,Delta Construction Services,Heavy Rain,Adequate,Medium,Severely Delayed,127181,1017448,No,No,Delay due to weather and site coordination
ABC-010,Industrial Project,Site Survey & Setting Out,2025-07-25,2025-07-30,2025-07-26,2025-08-05,6,11,5,CoreBuild Engineering,Moderate Rain,Adequate,Low,Delayed,182053,910265,Yes,No,Delay due to weather and site coordination
ABC-010,Industrial Project,Excavation,2025-08-18,2025-09-01,2025-08-18,2025-09-07,15,21,6,Delta Construction Services,Normal,Shortage,Medium,Severely Delayed,124082,744492,No,No,Delay due to labour shortage
ABC-010,Industrial Project,Foundation PCC,2025-07-20,2025-07-24,2025-07-21,2025-08-03,5,14,9,Delta Construction Services,Normal,Moderate,High,Severely Delayed,145056,1305504,No,No,Delay due to material supply issue
ABC-010,Industrial Project,Footing Reinforcement,2025-05-12,2025-05-19,2025-05-12,2025-05-25,8,14,6,BuildRight Civil Works,High Wind,Moderate,Medium,Severely Delayed,151159,906954,No,No,Delay due to material supply issue
ABC-011,Industrial Project,Footing Formwork,2025-12-26,2025-12-31,2025-12-26,2026-01-08,6,14,8,BuildRight Civil Works,Heavy Rain,Adequate,None,Severely Delayed,46905,375240,No,Yes,Delay due to weather and site coordination
ABC-011,Industrial Project,Footing Concreting,2025-11-07,2025-11-09,2025-11-07,2025-11-14,3,8,5,BuildRight Civil Works,High Wind,Moderate,Low,Delayed,68865,344325,No,No,Delay due to contractor productivity
ABC-011,Industrial Project,Column Reinforcement,2025-05-10,2025-05-16,2025-05-10,2025-05-21,7,12,5,PrimeBuild Contractors,Moderate Rain,Adequate,Medium,Delayed,185931,929655,No,No,Delay due to weather and site coordination
ABC-011,Industrial Project,Column Formwork,2025-11-10,2025-11-15,2025-11-10,2025-11-24,6,15,9,BuildRight Civil Works,Normal,Shortage,None,Severely Delayed,98783,889047,No,No,Delay due to labour shortage
ABC-011,Industrial Project,Column Concreting,2025-12-18,2025-12-21,2025-12-18,2025-12-28,4,11,7,PrimeBuild Contractors,Heavy Rain,Adequate,Medium,Severely Delayed,238483,1669381,No,No,Delay due to weather and site coordination
ABC-011,Industrial Project,Beam & Slab Formwork,2025-05-09,2025-05-22,2025-05-09,2025-05-22,14,14,0,Elite Structures Pvt. Ltd.,Normal,Adequate,None,Completed On Time,237597,0,No,No,Completed as planned
ABC-011,Industrial Project,Beam & Slab Reinforcement,2025-05-05,2025-05-19,2025-05-06,2025-05-30,15,25,10,Delta Construction Services,Heavy Rain,Shortage,Low,Severely Delayed,150922,1509220,No,No,Delay due to weather and site coordination
ABC-011,Industrial Project,RCC Slab Concreting,2025-05-10,2025-05-12,2025-05-10,2025-05-16,3,7,4,BuildRight Civil Works,Normal,Adequate,None,Delayed,196220,784880,No,No,Delay due to contractor productivity
ABC-011,Industrial Project,Brickwork / Blockwork,2025-06-17,2025-07-05,2025-06-17,2025-07-14,19,28,9,PrimeBuild Contractors,Heavy Rain,Adequate,Medium,Severely Delayed,153101,1377909,No,No,Delay due to weather and site coordination
ABC-011,Industrial Project,Internal Plastering,2025-11-11,2025-11-25,2025-11-13,2025-12-02,15,20,5,Elite Structures Pvt. Ltd.,Hot & Dry,Adequate,None,Delayed,172035,860175,No,No,Delay due to contractor productivity
ABC-012,Industrial Project,External Plastering,2026-01-11,2026-01-31,2026-01-12,2026-02-06,21,26,5,BuildRight Civil Works,Moderate Rain,Moderate,None,Delayed,109487,547435,No,No,Delay due to weather and site coordination
ABC-012,Industrial Project,Electrical First Fix,2025-10-18,2025-10-31,2025-10-18,2025-11-04,14,18,4,Delta Construction Services,Normal,Adequate,Low,Delayed,190986,763944,No,No,Delay due to contractor productivity
ABC-012,Industrial Project,Plumbing First Fix,2025-11-03,2025-11-12,2025-11-05,2025-11-16,10,12,2,Delta Construction Services,Normal,Adequate,Low,Delayed,129851,259702,No,No,Delay due to contractor productivity
ABC-012,Industrial Project,Waterproofing,2025-12-16,2025-12-24,2025-12-18,2026-01-01,9,15,6,BuildRight Civil Works,Heavy Rain,Adequate,High,Severely Delayed,228631,1371786,Yes,No,Delay due to weather and site coordination
ABC-012,Industrial Project,Flooring & Tiling,2025-11-11,2025-11-25,2025-11-11,2025-11-25,15,15,0,Elite Structures Pvt. Ltd.,Normal,Adequate,None,Completed On Time,142704,0,No,No,Completed as planned
ABC-012,Industrial Project,Doors & Windows,2025-07-09,2025-07-22,2025-07-09,2025-07-27,14,19,5,Delta Construction Services,Heavy Rain,Moderate,None,Delayed,212814,1064070,Yes,Yes,Delay due to weather and site coordination
ABC-012,Industrial Project,Painting,2025-08-07,2025-08-24,2025-08-07,2025-09-01,18,26,8,BuildRight Civil Works,Normal,Adequate,High,Severely Delayed,203081,1624648,No,No,Delay due to material supply issue
ABC-012,Industrial Project,External Development,2025-08-18,2025-09-04,2025-08-19,2025-09-05,18,18,0,Elite Structures Pvt. Ltd.,Hot & Dry,Adequate,None,Completed On Time,169572,0,No,No,Completed as planned
ABC-012,Industrial Project,Testing & Commissioning,2025-12-14,2025-12-22,2025-12-14,2025-12-23,9,10,1,BuildRight Civil Works,Hot & Dry,Adequate,None,Delayed,96807,96807,No,No,Delay due to contractor productivity
ABC-012,Industrial Project,Final Inspection & Handover,2025-08-25,2025-08-29,2025-08-26,2025-08-30,5,5,0,BuildRight Civil Works,Normal,Moderate,None,Completed On Time,217471,0,No,No,Completed as planned
